localization_index,TP_z,TP_corr_score
0.0,3.0,0.9874450098420819
1.0,-13.0,0.9848255107229051
2.0,-35.0,0.9500761247273785
3.0,-18.0,0.9472013362955864
4.0,-12.0,0.8989465563807598
